Test;Elementos;Operacion;Tiempo
unordered_map_string;1000;search;182000
unordered_map_string;1000;search_nouser;137600
unordered_map_string;5000;insert;2370800
unordered_map_string;5000;search;832700
unordered_map_string;5000;search_nouser;597300
unordered_map_string;10000;insert;5679500
unordered_map_string;10000;search;2693500
unordered_map_string;10000;search_nouser;1071200
unordered_map_string;15000;insert;8755000
unordered_map_string;15000;search;4233600
unordered_map_string;15000;search_nouser;1738700
unordered_map_string;20000;insert;11534800
unordered_map_string;20000;search;6214300
unordered_map_string;20000;search_nouser;2225600
unordered_map_string;1000;insert;483700
unordered_map_string;1000;search;153800
unordered_map_string;1000;search_nouser;116700
unordered_map_string;5000;insert;2276500
unordered_map_string;5000;search;863300
unordered_map_string;5000;search_nouser;591700
unordered_map_string;10000;insert;5258200
unordered_map_string;10000;search;2380900
unordered_map_string;10000;search_nouser;1071300
unordered_map_string;15000;insert;7893100
unordered_map_string;15000;search;4070900
unordered_map_string;15000;search_nouser;1753600
unordered_map_string;20000;insert;10662000
unordered_map_string;20000;search;5174800
unordered_map_string;20000;search_nouser;2282600
unordered_map_string;1000;insert;574300
unordered_map_string;1000;search;189200
unordered_map_string;1000;search_nouser;125500
unordered_map_string;5000;insert;2303600
unordered_map_string;5000;search;794400
unordered_map_string;5000;search_nouser;590300
unordered_map_string;10000;insert;4934200
unordered_map_string;10000;search;2232700
unordered_map_string;10000;search_nouser;1174300
unordered_map_string;15000;insert;8422500
unordered_map_string;15000;search;4545600
unordered_map_string;15000;search_nouser;1798900
unordered_map_string;20000;insert;10434200
unordered_map_string;20000;search;5473400
unordered_map_string;20000;search_nouser;2303900
unordered_map_string;1000;insert;652200
unordered_map_string;1000;search;161900
unordered_map_string;1000;search_nouser;100300
unordered_map_string;5000;insert;2464100
unordered_map_string;5000;search;806400
unordered_map_string;5000;search_nouser;597800
unordered_map_string;10000;insert;5023300
unordered_map_string;10000;search;2200200
unordered_map_string;10000;search_nouser;1073300
unordered_map_string;15000;insert;7643900
unordered_map_string;15000;search;2972700
unordered_map_string;15000;search_nouser;1604700
unordered_map_string;20000;insert;10493800
unordered_map_string;20000;search;5418000
unordered_map_string;20000;search_nouser;2282000
unordered_map_string;1000;insert;545700
unordered_map_string;1000;search;185000
unordered_map_string;1000;search_nouser;149900
unordered_map_string;5000;insert;2813800
unordered_map_string;5000;search;944900
unordered_map_string;5000;search_nouser;597400
unordered_map_string;10000;insert;4737000
unordered_map_string;10000;search;2259400
unordered_map_string;10000;search_nouser;1080000
unordered_map_string;15000;insert;7350100
unordered_map_string;15000;search;3459500
unordered_map_string;15000;search_nouser;1518600
unordered_map_string;20000;insert;9941300
unordered_map_string;20000;search;4831200
unordered_map_string;20000;search_nouser;2015600
unordered_map_string;1000;insert;516100
unordered_map_string;1000;search;154400
unordered_map_string;1000;search_nouser;103900
unordered_map_string;5000;insert;2235400
unordered_map_string;5000;search;809200
unordered_map_string;5000;search_nouser;592600
unordered_map_string;10000;insert;4876800
unordered_map_string;10000;search;2031900
unordered_map_string;10000;search_nouser;1084300
unordered_map_string;15000;insert;7487400
unordered_map_string;15000;search;3796200
unordered_map_string;15000;search_nouser;1738500
unordered_map_string;20000;insert;9594100
unordered_map_string;20000;search;5069900
unordered_map_string;20000;search_nouser;2286000
unordered_map_string;1000;insert;483900
unordered_map_string;1000;search;165300
unordered_map_string;1000;search_nouser;107100
unordered_map_string;5000;insert;2319700
unordered_map_string;5000;search;812800
unordered_map_string;5000;search_nouser;596100
unordered_map_string;10000;insert;5244400
unordered_map_string;10000;search;1747200
unordered_map_string;10000;search_nouser;1069500
unordered_map_string;15000;insert;7566400
unordered_map_string;15000;search;3234100
unordered_map_string;15000;search_nouser;1490900
unordered_map_string;20000;insert;10033300
unordered_map_string;20000;search;4724800
unordered_map_string;20000;search_nouser;2289500
unordered_map_string;1000;insert;582000
unordered_map_string;1000;search;193800
unordered_map_string;1000;search_nouser;125000
unordered_map_string;5000;insert;3095600
unordered_map_string;5000;search;1129800
unordered_map_string;5000;search_nouser;596300
unordered_map_string;10000;insert;4884500
unordered_map_string;10000;search;2156900
unordered_map_string;10000;search_nouser;1073600
unordered_map_string;15000;insert;7631800
unordered_map_string;15000;search;3612800
unordered_map_string;15000;search_nouser;1753100
unordered_map_string;20000;insert;9802100
unordered_map_string;20000;search;4971300
unordered_map_string;20000;search_nouser;2294100
unordered_map_string;1000;insert;472600
unordered_map_string;1000;search;147900
unordered_map_string;1000;search_nouser;116800
unordered_map_string;5000;insert;2271700
unordered_map_string;5000;search;791100
unordered_map_string;5000;search_nouser;593900
unordered_map_string;10000;insert;4717000
unordered_map_string;10000;search;1711500
unordered_map_string;10000;search_nouser;1070400
unordered_map_string;15000;insert;7246300
unordered_map_string;15000;search;3048000
unordered_map_string;15000;search_nouser;1762100
unordered_map_string;20000;insert;10392500
unordered_map_string;20000;search;4857700
unordered_map_string;20000;search_nouser;2290000
unordered_map_string;1000;insert;817700
unordered_map_string;1000;search;325700
unordered_map_string;1000;search_nouser;177900
unordered_map_string;5000;insert;2303300
unordered_map_string;5000;search;904300
unordered_map_string;5000;search_nouser;587900
unordered_map_string;10000;insert;4919700
unordered_map_string;10000;search;2102400
unordered_map_string;10000;search_nouser;1081500
unordered_map_string;15000;insert;7298700
unordered_map_string;15000;search;3684700
unordered_map_string;15000;search_nouser;1527700
unordered_map_string;20000;insert;9731000
unordered_map_string;20000;search;4695000
unordered_map_string;20000;search_nouser;2195200
unordered_map_string;1000;insert;567500
unordered_map_string;1000;search;172200
unordered_map_string;1000;search_nouser;116900
unordered_map_string;5000;insert;2352600
unordered_map_string;5000;search;856900
unordered_map_string;5000;search_nouser;599000
unordered_map_string;10000;insert;4805700
unordered_map_string;10000;search;2088100
unordered_map_string;10000;search_nouser;1072600
unordered_map_string;15000;insert;8206500
unordered_map_string;15000;search;3432600
unordered_map_string;15000;search_nouser;1623200
unordered_map_string;20000;insert;10401500
unordered_map_string;20000;search;4791800
unordered_map_string;20000;search_nouser;2291300
